,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country Code,2018_lifeexp,NHLY,2018_co2,2018_ch4,2018_n2o,2018_pop,2018_extcostratio,2018_llpp_who,PCEC,ERHNI
115,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,ZMB,63.51,-3.956673000000001,7740.0,17870.0,14460.0,17351714.0,1.885213673789115,1.41,10.786499999999998,-24.29153029232629
116,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,MRT,64.704,-4.166937600000001,4000.0,6830.0,3220.0,4403312.0,1.7491642216375893,0.0,0.0,-4.166937600000001
117,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,ETH,66.24,-4.305600000000003,16280.0,103110.0,52160.0,109224410.0,1.1295623046053251,1.0700001,8.185500764999999,-13.551633108462052
118,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215,GEO,73.6,-4.857600000000001,9460.0,5210.0,2090.0,3726549.0,1.3833240997860838,0.80000001,6.120000076499999,-13.323543596515126
119,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028,ARM,74.945,-5.088765500000002,5550.0,2430.0,1170.0,2951741.0,0.9549740391339404,1.29,9.868500000000001,-14.512926805193295
120,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178,MMR,66.867,-4.627196400000002,32520.0,65790.0,21340.0,53708318.0,1.0051089916700202,2.49,19.048500000000004,-23.773015027826386
121,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,TCD,53.977,-3.7729922999999994,1070.0,53990.0,24920.0,15477727.0,3.8485324009733333,0.63,4.8195,-22.320994206490976
122,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052,COD,60.368,-4.557784,2200.0,38620.0,15790.0,84068092.0,0.45648611310484705,2.6800001,20.502000765,-13.91666264008745
123,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,IND,69.416,-5.622695999999997,2434520.0,666510.0,253790.0,1352642283.0,0.4727061116535888,4.75,36.3375,-22.799654332212278
124,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,NER,62.024,-5.172801599999999,2290.0,29860.0,12250.0,22442831.0,1.3261200274007428,0.58999997,4.513499770500001,-11.158244039328707
125,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061,UGA,62.973,-5.283434700000003,6130.0,33250.0,15460.0,42729032.0,0.8649017366286772,1.83,13.999500000000001,-17.391626561933172
126,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067,BEN,61.47,-5.280273,7910.0,5530.0,2930.0,11485035.0,0.6043048763675626,1.15,8.7975,-10.596645149843631
